uid,n_interactions,n_questions,n_kcs,accuracy_total,repeat_rate,first_accuracy,repeat_accuracy,first_timestamp,last_timestamp,repeat_gain,sequence_duration_days,activity_bucket,cohort
394,753,629,244,0.84595,0.146082,0.855365,0.790909,1595241695000,1615983070000,-0.064456,240.062211,muy alta,mixed_profile
398,454,408,194,0.95815,0.101322,0.955882,0.978261,1596413470000,1615013116000,0.022379,215.273681,muy alta,high_accuracy_low_repeat
400,411,360,156,0.875912,0.107056,0.877384,0.863636,1598078708000,1621858139000,-0.013748,275.224896,alta,high_accuracy_low_repeat
401,522,444,180,0.886973,0.122605,0.89083,0.859375,1595746552000,1622204710000,-0.031455,306.228681,muy alta,high_accuracy_low_repeat
402,513,452,191,0.824561,0.11501,0.821586,0.847458,1597234434000,1621771542000,0.025872,283.994306,muy alta,mixed_profile
405,583,482,181,0.591767,0.154374,0.59432,0.577778,1595746516000,1622258135000,-0.016543,306.847442,muy alta,mixed_profile
410,239,204,113,0.924686,0.133891,0.922705,0.9375,1601042786000,1622265810000,0.014795,245.636852,baja,high_accuracy_low_repeat
411,256,228,103,0.820312,0.105469,0.829694,0.740741,1599290312000,1621775285000,-0.088954,260.242743,baja,mixed_profile
419,500,383,162,0.92,0.132,0.914747,0.954545,1594428905000,1622036467000,0.039799,319.531968,muy alta,high_accuracy_low_repeat
421,277,249,126,0.873646,0.101083,0.863454,0.964286,1599559151000,1622276333000,0.100832,262.930347,media,high_accuracy_low_repeat
422,253,219,116,0.818182,0.12253,0.81982,0.806452,1595155832000,1619793173000,-0.013368,285.15441,baja,mixed_profile
428,334,280,137,0.781437,0.143713,0.77972,0.791667,1599377629000,1621762190000,0.011946,259.080567,alta,mixed_profile
431,429,359,169,0.932401,0.13986,0.940379,0.883333,1596440613000,1621762190000,-0.057046,293.073808,muy alta,high_accuracy_low_repeat
433,320,287,126,0.853125,0.1,0.850694,0.875,1593317458000,1618654816000,0.024306,293.256458,media,high_accuracy_low_repeat
435,376,327,160,0.869681,0.119681,0.867069,0.888889,1593845691000,1622270479000,0.021819,328.990602,alta,high_accuracy_low_repeat
440,702,586,206,0.881766,0.139601,0.88245,0.877551,1594466768000,1622290974000,-0.004899,322.039421,muy alta,high_accuracy_low_repeat
443,326,269,129,0.815951,0.156442,0.832727,0.72549,1599268929000,1622256776000,-0.107237,266.063044,media,mixed_profile
445,327,246,142,0.749235,0.131498,0.742958,0.790698,1594460867000,1622034855000,0.04774,319.14338,media,mixed_profile
446,253,187,124,0.640316,0.110672,0.626667,0.75,1595930137000,1621773218000,0.123333,299.109734,baja,mixed_profile
447,231,163,96,0.727273,0.125541,0.717822,0.793103,1594807069000,1622292121000,0.075282,318.114028,baja,mixed_profile
449,418,382,191,0.95933,0.074163,0.963824,0.903226,1593313736000,1621757654000,-0.060598,329.212014,muy alta,high_accuracy_low_repeat
461,409,351,163,0.865526,0.141809,0.868946,0.844828,1597896876000,1621078149000,-0.024118,268.301771,alta,high_accuracy_low_repeat
465,284,230,135,0.397887,0.126761,0.403226,0.361111,1597042519000,1622253139000,-0.042115,291.789583,media,mixed_profile
467,413,293,164,0.849879,0.140436,0.84507,0.87931,1594460707000,1621849500000,0.03424,316.999919,alta,mixed_profile
469,564,409,177,0.939716,0.140071,0.931959,0.987342,1594350187000,1622195107000,0.055383,322.279167,muy alta,high_accuracy_low_repeat
472,432,366,181,0.668981,0.152778,0.65847,0.727273,1594428913000,1622204109000,0.068803,321.472176,muy alta,mixed_profile
473,581,507,218,0.817556,0.11704,0.816764,0.823529,1596944387000,1622266263000,0.006765,293.077269,muy alta,mixed_profile
475,228,190,112,0.780702,0.092105,0.777778,0.809524,1594438103000,1621757372000,0.031746,316.195243,baja,mixed_profile
476,343,298,151,0.626822,0.116618,0.636964,0.55,1595131463000,1622282792000,-0.086964,314.251493,alta,mixed_profile
479,400,349,178,0.9325,0.125,0.937143,0.9,1595342560000,1614990799000,-0.037143,227.410174,alta,high_accuracy_low_repeat
482,323,263,140,0.510836,0.145511,0.507246,0.531915,1597053461000,1622195458000,0.024669,290.995336,media,mixed_profile
488,447,373,151,0.870246,0.14094,0.877604,0.825397,1595146891000,1621167511000,-0.052207,301.164583,muy alta,high_accuracy_low_repeat
489,569,446,200,0.690685,0.140598,0.683027,0.7375,1594427113000,1621733668000,0.054473,316.04809,muy alta,mixed_profile
494,254,216,141,0.779528,0.149606,0.782407,0.763158,1596451305000,1621753208000,-0.01925,292.8461,baja,mixed_profile
497,414,358,172,0.84058,0.130435,0.830556,0.907407,1593822743000,1621752706000,0.076852,323.263461,alta,mixed_profile
498,371,329,170,0.80593,0.113208,0.802432,0.833333,1593772722000,1621752162000,0.030902,323.836111,alta,mixed_profile
502,372,318,135,0.83871,0.145161,0.839623,0.833333,1599821254000,1622260148000,-0.006289,259.709421,alta,mixed_profile
503,264,235,144,0.780303,0.109848,0.787234,0.724138,1593830734000,1622292256000,-0.063096,329.415764,baja,mixed_profile
508,450,377,184,0.884444,0.093333,0.889706,0.833333,1594449333000,1615077825000,-0.056373,238.755694,muy alta,high_accuracy_low_repeat
509,369,305,150,0.560976,0.165312,0.535714,0.688525,1594035013000,1622256118000,0.15281,326.63316,alta,mixed_profile
513,510,426,194,0.796078,0.145098,0.793578,0.810811,1595241725000,1615035130000,0.017233,229.090336,muy alta,mixed_profile
518,507,426,181,0.861933,0.136095,0.863014,0.855072,1596349137000,1621770531000,-0.007941,294.229097,muy alta,high_accuracy_low_repeat
522,454,317,148,0.799559,0.15859,0.795812,0.819444,1594427144000,1622272406000,0.023633,322.283125,muy alta,mixed_profile
524,266,224,109,0.793233,0.120301,0.782051,0.875,1600433541000,1621600875000,0.092949,244.992292,baja,mixed_profile
528,374,297,148,0.834225,0.131016,0.833846,0.836735,1597282364000,1622291812000,0.002889,289.461204,alta,mixed_profile
536,412,351,153,0.881068,0.121359,0.878453,0.9,1599215966000,1622204335000,0.021547,266.069086,alta,high_accuracy_low_repeat
541,287,244,140,0.627178,0.12892,0.624,0.648649,1594638717000,1622247915000,0.024649,319.550903,media,mixed_profile
544,460,328,167,0.934783,0.13913,0.926768,0.984375,1594460701000,1621849507000,0.057607,317.000069,muy alta,high_accuracy_low_repeat
547,280,226,129,0.678571,0.192857,0.668142,0.722222,1596428900000,1615378530000,0.054081,219.324421,media,mixed_profile
555,409,328,176,0.819071,0.124694,0.829609,0.745098,1594427230000,1615088362000,-0.084511,239.133472,alta,mixed_profile
558,398,306,128,0.404523,0.198492,0.410658,0.379747,1595746558000,1621859204000,-0.030911,302.229699,alta,mixed_profile
560,233,209,101,0.88412,0.103004,0.880383,0.916667,1597022660000,1622247568000,0.036284,291.954954,baja,high_accuracy_low_repeat
567,378,312,157,0.896825,0.145503,0.894737,0.909091,1593596706000,1621168445000,0.014354,319.11735,alta,high_accuracy_low_repeat
571,293,271,149,0.778157,0.071672,0.783088,0.714286,1595250397000,1622284191000,-0.068803,312.891134,media,mixed_profile
593,321,250,125,0.190031,0.133956,0.190647,0.186047,1597539323000,1620732459000,-0.004601,268.439074,media,mixed_profile
595,276,236,130,0.75,0.123188,0.752066,0.735294,1598066541000,1621774879000,-0.016772,274.40206,media,mixed_profile
596,454,378,156,0.819383,0.15859,0.819372,0.819444,1599290500000,1622278776000,7.3e-05,266.068009,muy alta,mixed_profile
600,234,211,121,0.944444,0.076923,0.939815,1.0,1596114303000,1616832041000,0.060185,239.788634,baja,high_accuracy_low_repeat
604,313,282,134,0.859425,0.089457,0.863158,0.821429,1595308439000,1622266550000,-0.041729,312.015174,media,high_accuracy_low_repeat
611,263,228,123,0.988593,0.13308,0.986842,1.0,1597415044000,1620910013000,0.013158,271.932512,baja,high_accuracy_low_repeat
613,351,274,127,0.928775,0.165242,0.928328,0.931034,1595066127000,1622288178000,0.002707,315.070035,alta,high_accuracy_low_repeat
615,535,402,171,0.728972,0.130841,0.722581,0.771429,1594460703000,1621244759000,0.048848,310.000648,muy alta,mixed_profile
616,600,493,203,0.918333,0.151667,0.921415,0.901099,1594441828000,1622205279000,-0.020316,321.336238,muy alta,high_accuracy_low_repeat
617,332,270,146,0.746988,0.174699,0.759124,0.689655,1595746601000,1621741070000,-0.069469,300.86191,media,mixed_profile
618,234,203,128,0.739316,0.128205,0.75,0.666667,1595124224000,1611381183000,-0.083333,188.159248,baja,mixed_profile
619,337,237,124,0.807122,0.130564,0.805461,0.818182,1597571113000,1621849501000,0.012721,280.999861,alta,mixed_profile
625,258,231,131,0.817829,0.104651,0.82684,0.740741,1593735222000,1620986807000,-0.086099,315.411863,baja,mixed_profile
626,411,339,177,0.824818,0.158151,0.820809,0.846154,1596455012000,1609642227000,0.025345,152.629803,alta,mixed_profile
627,550,434,174,0.716364,0.170909,0.725877,0.670213,1595305433000,1621675831000,-0.055664,305.21294,muy alta,mixed_profile
628,304,248,128,0.595395,0.095395,0.596364,0.586207,1597549516000,1616902570000,-0.010157,223.993681,media,mixed_profile
629,453,372,178,0.675497,0.145695,0.69509,0.560606,1595241714000,1615108375000,-0.134484,229.938206,muy alta,mixed_profile
630,387,331,173,0.927649,0.134367,0.928358,0.923077,1595325520000,1622030162000,-0.005281,309.081505,alta,high_accuracy_low_repeat
632,539,456,186,0.886827,0.148423,0.884532,0.9,1596350701000,1621677712000,0.015468,293.136701,muy alta,high_accuracy_low_repeat
635,230,216,115,0.869565,0.056522,0.870968,0.846154,1595160291000,1622260755000,-0.024814,313.662778,baja,high_accuracy_low_repeat
646,310,272,142,0.751613,0.112903,0.749091,0.771429,1599385378000,1622284028000,0.022338,265.030671,media,mixed_profile
648,313,246,149,0.945687,0.146965,0.94382,0.956522,1599645340000,1622037701000,0.012702,259.170845,media,high_accuracy_low_repeat
649,314,269,137,0.735669,0.11465,0.741007,0.694444,1595657286000,1620986946000,-0.046563,293.167361,media,mixed_profile
651,552,413,168,0.985507,0.144928,0.985169,0.9875,1599958515000,1622038689000,0.002331,255.557569,muy alta,high_accuracy_low_repeat
655,591,509,209,0.786802,0.130288,0.793774,0.74026,1597019178000,1621745458000,-0.053515,286.183796,muy alta,mixed_profile
661,600,452,187,0.92,0.146667,0.914062,0.954545,1596437114000,1621686713000,0.040483,292.240729,muy alta,high_accuracy_low_repeat
664,567,482,194,0.955908,0.118166,0.952,0.985075,1597571109000,1621859533000,0.033075,281.116019,muy alta,high_accuracy_low_repeat
667,330,280,137,0.881818,0.093939,0.889632,0.806452,1596534304000,1615208693000,-0.08318,216.138762,media,high_accuracy_low_repeat
672,301,258,105,0.923588,0.10299,0.914815,1.0,1605760125000,1622291762000,0.085185,191.338391,media,high_accuracy_low_repeat
677,543,472,203,0.961326,0.12523,0.957895,0.985294,1597570843000,1621761307000,0.027399,279.982222,muy alta,high_accuracy_low_repeat
680,298,220,127,0.741611,0.147651,0.73622,0.772727,1602052468000,1621856390000,0.036507,229.21206,media,mixed_profile
682,558,471,201,0.78853,0.139785,0.804167,0.692308,1597733726000,1622204721000,-0.111859,283.229109,muy alta,mixed_profile
686,327,256,139,0.611621,0.119266,0.631944,0.461538,1594464615000,1622261028000,-0.170406,321.717743,media,mixed_profile
687,391,335,126,0.928389,0.138107,0.925816,0.944444,1596517123000,1622247665000,0.018628,297.807199,alta,high_accuracy_low_repeat
688,323,275,147,0.702786,0.145511,0.699275,0.723404,1593436459000,1622194967000,0.024129,332.853102,media,mixed_profile
691,577,435,186,0.859619,0.145581,0.853955,0.892857,1595670840000,1622294229000,0.038902,308.141076,muy alta,high_accuracy_low_repeat
704,551,475,181,0.920145,0.137931,0.92,0.921053,1596543363000,1622296625000,0.001053,298.070162,muy alta,high_accuracy_low_repeat
705,457,374,189,0.809628,0.146608,0.805128,0.835821,1598078711000,1621640594000,0.030693,272.706979,muy alta,mixed_profile
708,644,553,204,0.84472,0.122671,0.846018,0.835443,1595241728000,1614949961000,-0.010575,228.104549,muy alta,mixed_profile
711,588,452,191,0.865646,0.144558,0.862823,0.882353,1594460728000,1622211315000,0.01953,321.18735,muy alta,high_accuracy_low_repeat
717,510,446,164,0.964706,0.123529,0.964206,0.968254,1599570243000,1621776873000,0.004048,257.021181,muy alta,high_accuracy_low_repeat
719,321,281,129,0.853583,0.115265,0.852113,0.864865,1594439702000,1622281208000,0.012752,322.239653,media,high_accuracy_low_repeat
723,496,364,152,0.856855,0.143145,0.851765,0.887324,1600770205000,1621849500000,0.035559,243.973322,muy alta,high_accuracy_low_repeat
727,226,207,82,0.938053,0.079646,0.932692,1.0,1596359542000,1608461921000,0.067308,140.073831,baja,high_accuracy_low_repeat
733,247,210,118,0.765182,0.133603,0.761682,0.787879,1599214403000,1622270973000,0.026197,266.858449,baja,mixed_profile
737,229,208,122,0.772926,0.087336,0.779904,0.7,1595238795000,1622032170000,-0.079904,310.108507,baja,mixed_profile
744,506,436,160,0.978261,0.128458,0.977324,0.984615,1599829783000,1621752299000,0.007291,253.732824,muy alta,high_accuracy_low_repeat
745,400,345,170,0.785,0.135,0.771676,0.87037,1597928811000,1622004561000,0.098694,278.654514,alta,mixed_profile
750,412,372,191,0.825243,0.09466,0.844504,0.641026,1593324194000,1622206340000,-0.203478,334.284097,alta,mixed_profile
751,260,205,119,0.884615,0.111538,0.874459,0.965517,1594460713000,1615382502000,0.091058,242.150336,baja,high_accuracy_low_repeat
757,268,231,104,0.701493,0.104478,0.679167,0.892857,1597549916000,1621759602000,0.21369,280.204699,baja,mixed_profile
761,516,427,163,0.775194,0.155039,0.768349,0.8125,1599301238000,1622289898000,0.044151,266.072454,muy alta,mixed_profile
764,218,203,88,0.811927,0.06422,0.79902,1.0,1599226675000,1616321158000,0.20098,197.852812,baja,mixed_profile
768,293,248,119,0.863481,0.088737,0.865169,0.846154,1597537659000,1615377912000,-0.019015,206.48441,media,high_accuracy_low_repeat
771,361,268,154,0.778393,0.124654,0.765823,0.866667,1594464580000,1621849505000,0.100844,316.95515,alta,mixed_profile
777,284,253,108,0.926056,0.109155,0.920949,0.967742,1599967881000,1614479688000,0.046793,167.960729,media,high_accuracy_low_repeat
780,295,256,153,0.708475,0.094915,0.685393,0.928571,1594460702000,1621849502000,0.243178,317.0,media,mixed_profile
786,254,198,113,0.80315,0.141732,0.779817,0.944444,1597560323000,1622298413000,0.164628,286.320486,baja,mixed_profile
787,354,305,143,0.855932,0.129944,0.844156,0.934783,1595062690000,1622031358000,0.090627,312.137361,alta,high_accuracy_low_repeat
790,326,268,135,0.877301,0.177914,0.873134,0.896552,1594622827000,1622295376000,0.023417,320.284132,media,high_accuracy_low_repeat
791,316,268,135,0.835443,0.148734,0.810409,0.978723,1596327921000,1622288537000,0.168314,300.470093,media,mixed_profile
793,400,319,157,0.595,0.1575,0.620178,0.460317,1595241963000,1614938116000,-0.159861,227.964734,alta,mixed_profile
801,418,349,146,0.662679,0.095694,0.671958,0.575,1598356341000,1621772103000,-0.096958,271.015764,muy alta,mixed_profile
803,270,244,114,0.888889,0.088889,0.890244,0.875,1600524459000,1622282114000,-0.015244,251.824711,baja,high_accuracy_low_repeat
812,311,281,161,0.868167,0.096463,0.864769,0.9,1593409863000,1621861694000,0.035231,329.3036,media,high_accuracy_low_repeat
819,234,204,101,0.311966,0.123932,0.326829,0.206897,1599291994000,1622246482000,-0.119933,265.676944,baja,mixed_profile
820,304,253,142,0.773026,0.144737,0.765385,0.818182,1594638676000,1622298900000,0.052797,320.141481,media,mixed_profile
822,451,372,175,0.818182,0.150776,0.819843,0.808824,1595305424000,1622204389000,-0.01102,311.330613,muy alta,mixed_profile
826,253,210,108,0.928854,0.146245,0.925926,0.945946,1596362110000,1608973261000,0.02002,145.962396,baja,high_accuracy_low_repeat
