uid,progress_bin,n,accuracy,repeat_rate
98,0-25%,92,0.923913,0.119565
98,25-50%,92,0.869565,0.097826
98,50-75%,92,0.695652,0.097826
98,75-100%,93,0.774194,0.215054
103,0-25%,102,0.764706,0.088235
103,25-50%,102,0.852941,0.068627
103,50-75%,102,0.872549,0.019608
103,75-100%,102,0.941176,0.127451
111,0-25%,59,0.864407,0.067797
111,25-50%,59,0.881356,0.067797
111,50-75%,59,0.813559,0.033898
111,75-100%,59,0.898305,0.135593
119,0-25%,82,0.780488,0.060976
119,25-50%,83,0.795181,0.096386
119,50-75%,82,0.658537,0.109756
119,75-100%,83,0.638554,0.26506
123,0-25%,110,0.7,0.045455
123,25-50%,110,0.836364,0.118182
123,50-75%,110,0.672727,0.054545
123,75-100%,110,0.563636,0.181818
132,0-25%,86,0.883721,0.069767
132,25-50%,86,0.837209,0.081395
132,50-75%,86,0.813953,0.05814
132,75-100%,87,0.873563,0.114943
136,0-25%,99,0.969697,0.050505
136,25-50%,99,0.929293,0.070707
136,50-75%,99,0.909091,0.212121
136,75-100%,99,0.919192,0.242424
137,0-25%,82,0.890244,0.085366
137,25-50%,83,0.891566,0.120482
137,50-75%,83,0.915663,0.048193
137,75-100%,83,0.927711,0.096386
140,0-25%,70,0.842857,0.057143
140,25-50%,70,0.971429,0.057143
140,50-75%,70,0.942857,0.1
140,75-100%,71,0.943662,0.338028
142,0-25%,94,0.957447,0.085106
142,25-50%,94,0.968085,0.138298
142,50-75%,94,0.93617,0.106383
142,75-100%,95,0.947368,0.157895
143,0-25%,71,0.901408,0.056338
143,25-50%,71,0.901408,0.140845
143,50-75%,71,0.859155,0.169014
143,75-100%,71,0.84507,0.15493
144,0-25%,64,0.828125,0.0625
144,25-50%,65,0.830769,0.230769
144,50-75%,64,0.953125,0.046875
144,75-100%,65,0.923077,0.092308
145,0-25%,72,0.861111,0.083333
145,25-50%,73,0.917808,0.09589
145,50-75%,73,0.876712,0.09589
145,75-100%,73,0.958904,0.178082
152,0-25%,63,0.936508,0.222222
152,25-50%,64,0.953125,0.0625
152,50-75%,63,0.904762,0.190476
152,75-100%,64,0.859375,0.109375
163,0-25%,76,0.776316,0.171053
163,25-50%,77,0.649351,0.116883
163,50-75%,77,0.818182,0.155844
163,75-100%,77,0.909091,0.194805
169,0-25%,114,0.815789,0.114035
169,25-50%,115,0.808696,0.13913
169,50-75%,115,0.73913,0.095652
169,75-100%,115,0.869565,0.208696
171,0-25%,107,0.747664,0.11215
171,25-50%,107,0.757009,0.168224
171,50-75%,107,0.859813,0.074766
171,75-100%,107,0.728972,0.196262
174,0-25%,75,0.733333,0.066667
174,25-50%,76,0.763158,0.065789
174,50-75%,76,0.789474,0.131579
174,75-100%,76,0.710526,0.078947
185,0-25%,66,0.878788,0.151515
185,25-50%,67,0.880597,0.044776
185,50-75%,67,0.850746,0.223881
185,75-100%,67,0.955224,0.059701
188,0-25%,81,0.814815,0.08642
188,25-50%,81,0.950617,0.135802
188,50-75%,81,0.962963,0.148148
188,75-100%,82,0.963415,0.256098
197,0-25%,71,0.887324,0.014085
197,25-50%,72,0.888889,0.208333
197,50-75%,71,0.84507,0.140845
197,75-100%,72,0.75,0.208333
199,0-25%,85,0.8,0.094118
199,25-50%,86,0.872093,0.127907
199,50-75%,85,0.882353,0.105882
199,75-100%,86,0.94186,0.139535
203,0-25%,100,0.87,0.07
203,25-50%,100,0.93,0.07
203,50-75%,100,0.92,0.1
203,75-100%,100,0.93,0.06
207,0-25%,145,0.910345,0.075862
207,25-50%,146,0.938356,0.157534
207,50-75%,145,0.882759,0.117241
207,75-100%,146,0.924658,0.246575
226,0-25%,112,0.919643,0.098214
226,25-50%,113,0.902655,0.079646
226,50-75%,112,0.901786,0.071429
226,75-100%,113,0.884956,0.256637
227,0-25%,71,0.788732,0.056338
227,25-50%,71,0.802817,0.056338
227,50-75%,71,0.816901,0.098592
227,75-100%,71,0.802817,0.140845
231,0-25%,90,0.966667,0.077778
231,25-50%,91,0.989011,0.164835
231,50-75%,91,0.912088,0.131868
231,75-100%,91,0.923077,0.087912
232,0-25%,88,0.772727,0.034091
232,25-50%,89,0.842697,0.191011
232,50-75%,89,0.831461,0.05618
232,75-100%,89,0.842697,0.224719
234,0-25%,138,0.963768,0.123188
234,25-50%,139,0.978417,0.107914
234,50-75%,138,0.956522,0.130435
234,75-100%,139,0.956835,0.215827
236,0-25%,71,0.816901,0.098592
236,25-50%,72,0.958333,0.083333
236,50-75%,72,0.958333,0.097222
236,75-100%,72,0.944444,0.208333
240,0-25%,159,0.716981,0.075472
240,25-50%,160,0.8,0.0875
240,50-75%,160,0.8625,0.15
240,75-100%,160,0.8,0.225
241,0-25%,86,0.488372,0.046512
241,25-50%,86,0.511628,0.104651
241,50-75%,86,0.604651,0.081395
241,75-100%,86,0.662791,0.232558
251,0-25%,82,0.768293,0.146341
251,25-50%,83,0.783133,0.144578
251,50-75%,83,0.795181,0.216867
251,75-100%,83,0.807229,0.168675
252,0-25%,87,0.965517,0.137931
252,25-50%,87,0.977011,0.114943
252,50-75%,87,0.931034,0.057471
252,75-100%,88,0.977273,0.170455
254,0-25%,92,0.641304,0.086957
254,25-50%,93,0.591398,0.107527
254,50-75%,92,0.771739,0.152174
254,75-100%,93,0.763441,0.129032
260,0-25%,115,0.756522,0.06087
260,25-50%,115,0.947826,0.13913
260,50-75%,115,0.826087,0.104348
260,75-100%,116,0.87069,0.12931
261,0-25%,151,0.907285,0.172185
261,25-50%,152,0.848684,0.085526
261,50-75%,152,0.842105,0.111842
261,75-100%,152,0.809211,0.230263
270,0-25%,114,0.763158,0.184211
270,25-50%,114,0.894737,0.087719
270,50-75%,114,0.736842,0.096491
270,75-100%,114,0.877193,0.254386
271,0-25%,58,0.844828,0.034483
271,25-50%,58,0.931034,0.017241
271,50-75%,58,0.913793,0.172414
271,75-100%,59,0.762712,0.152542
282,0-25%,130,0.992308,0.169231
282,25-50%,131,0.923664,0.076336
282,50-75%,131,0.961832,0.114504
282,75-100%,131,0.961832,0.198473
289,0-25%,91,0.967033,0.087912
289,25-50%,92,0.956522,0.108696
289,50-75%,92,0.945652,0.108696
289,75-100%,92,0.956522,0.108696
290,0-25%,118,0.838983,0.110169
290,25-50%,119,0.831933,0.10084
290,50-75%,119,0.857143,0.084034
290,75-100%,119,0.907563,0.176471
292,0-25%,63,0.857143,0.142857
292,25-50%,63,0.809524,0.126984
292,50-75%,63,0.777778,0.126984
292,75-100%,63,0.904762,0.126984
293,0-25%,105,0.838095,0.180952
293,25-50%,105,0.866667,0.133333
293,50-75%,105,0.92381,0.066667
293,75-100%,106,0.867925,0.226415
296,0-25%,114,0.894737,0.105263
296,25-50%,114,0.921053,0.078947
296,50-75%,114,0.964912,0.122807
296,75-100%,114,0.973684,0.131579
298,0-25%,93,0.946237,0.053763
298,25-50%,94,0.882979,0.12766
298,50-75%,93,0.924731,0.150538
298,75-100%,94,0.87234,0.202128
307,0-25%,79,0.455696,0.126582
307,25-50%,80,0.5625,0.1375
307,50-75%,79,0.594937,0.075949
307,75-100%,80,0.4625,0.2
308,0-25%,79,0.759494,0.050633
308,25-50%,79,0.405063,0.075949
308,50-75%,79,0.455696,0.101266
308,75-100%,79,0.936709,0.227848
310,0-25%,82,0.902439,0.036585
310,25-50%,82,0.95122,0.195122
310,50-75%,82,0.97561,0.134146
310,75-100%,83,0.939759,0.204819
321,0-25%,121,0.909091,0.173554
321,25-50%,121,0.966942,0.082645
321,50-75%,121,0.966942,0.07438
321,75-100%,121,0.975207,0.280992
328,0-25%,98,0.887755,0.091837
328,25-50%,98,0.918367,0.112245
328,50-75%,98,0.887755,0.142857
328,75-100%,98,0.897959,0.295918
329,0-25%,112,0.821429,0.151786
329,25-50%,113,0.946903,0.079646
329,50-75%,112,0.955357,0.125
329,75-100%,113,0.938053,0.159292
331,0-25%,122,0.737705,0.106557
331,25-50%,123,0.731707,0.121951
331,50-75%,123,0.886179,0.081301
331,75-100%,123,0.95935,0.227642
332,0-25%,77,0.805195,0.194805
332,25-50%,78,0.653846,0.051282
332,50-75%,78,0.705128,0.153846
332,75-100%,78,0.75641,0.141026
340,0-25%,103,0.640777,0.087379
340,25-50%,104,0.682692,0.105769
340,50-75%,103,0.902913,0.165049
340,75-100%,104,0.798077,0.201923
342,0-25%,127,0.677165,0.125984
342,25-50%,128,0.804688,0.09375
342,50-75%,128,0.6875,0.1875
342,75-100%,128,0.6875,0.304688
351,0-25%,131,0.801527,0.114504
351,25-50%,131,0.877863,0.10687
351,50-75%,131,0.832061,0.145038
351,75-100%,131,0.816794,0.282443
352,0-25%,90,0.9,0.044444
352,25-50%,90,0.933333,0.166667
352,50-75%,90,0.888889,0.166667
352,75-100%,90,0.888889,0.288889
360,0-25%,93,0.967742,0.096774
360,25-50%,93,0.849462,0.139785
360,50-75%,93,0.967742,0.107527
360,75-100%,94,0.93617,0.234043
362,0-25%,60,0.883333,0.1
362,25-50%,60,1.0,0.25
362,50-75%,60,0.983333,0.1
362,75-100%,61,0.983607,0.147541
363,0-25%,139,0.892086,0.201439
363,25-50%,139,0.856115,0.071942
363,50-75%,139,0.798561,0.079137
363,75-100%,140,0.857143,0.2
365,0-25%,88,0.511364,0.034091
365,25-50%,89,0.393258,0.078652
365,50-75%,89,0.41573,0.11236
365,75-100%,89,0.617978,0.292135
371,0-25%,152,0.710526,0.138158
371,25-50%,153,0.712418,0.104575
371,50-75%,152,0.684211,0.098684
371,75-100%,153,0.771242,0.235294
372,0-25%,81,0.703704,0.111111
372,25-50%,82,0.756098,0.085366
372,50-75%,81,0.679012,0.08642
372,75-100%,82,0.54878,0.02439
373,0-25%,110,0.745455,0.072727
373,25-50%,110,0.909091,0.145455
373,50-75%,110,0.954545,0.136364
373,75-100%,110,0.872727,0.209091
376,0-25%,59,0.847458,0.186441
376,25-50%,59,0.864407,0.101695
376,50-75%,59,0.915254,0.101695
376,75-100%,60,0.9,0.216667
380,0-25%,81,0.740741,0.074074
380,25-50%,82,0.792683,0.085366
380,50-75%,82,0.780488,0.109756
380,75-100%,82,0.865854,0.268293
382,0-25%,68,0.897059,0.058824
382,25-50%,69,0.811594,0.115942
382,50-75%,68,0.808824,0.088235
382,75-100%,69,0.710145,0.130435
389,0-25%,81,0.728395,0.123457
389,25-50%,82,0.902439,0.121951
389,50-75%,81,0.975309,0.209877
389,75-100%,82,0.878049,0.04878
390,0-25%,149,0.986577,0.114094
390,25-50%,149,0.973154,0.14094
390,50-75%,149,0.973154,0.100671
390,75-100%,149,0.959732,0.201342
394,0-25%,188,0.75,0.180851
394,25-50%,188,0.925532,0.12234
394,50-75%,188,0.829787,0.111702
394,75-100%,189,0.878307,0.169312
398,0-25%,113,0.938053,0.079646
398,25-50%,114,0.982456,0.096491
398,50-75%,113,0.964602,0.097345
398,75-100%,114,0.947368,0.131579
400,0-25%,102,0.872549,0.098039
400,25-50%,103,0.864078,0.058252
400,50-75%,103,0.873786,0.087379
400,75-100%,103,0.893204,0.184466
401,0-25%,130,0.830769,0.123077
401,25-50%,131,0.908397,0.061069
401,50-75%,130,0.892308,0.153846
401,75-100%,131,0.916031,0.152672
402,0-25%,128,0.75,0.054688
402,25-50%,128,0.820312,0.101562
402,50-75%,128,0.890625,0.070312
402,75-100%,129,0.837209,0.232558
405,0-25%,145,0.496552,0.158621
405,25-50%,146,0.589041,0.109589
405,50-75%,146,0.657534,0.089041
405,75-100%,146,0.623288,0.260274
410,0-25%,59,0.932203,0.288136
410,25-50%,60,0.9,0.033333
410,50-75%,60,0.966667,0.066667
410,75-100%,60,0.9,0.15
411,0-25%,64,0.90625,0.03125
411,25-50%,64,0.828125,0.203125
411,50-75%,64,0.8125,0.03125
411,75-100%,64,0.734375,0.15625
419,0-25%,125,0.936,0.088
419,25-50%,125,0.928,0.2
419,50-75%,125,0.904,0.04
419,75-100%,125,0.912,0.2
421,0-25%,69,0.898551,0.101449
421,25-50%,69,0.927536,0.057971
421,50-75%,69,0.869565,0.130435
421,75-100%,70,0.8,0.114286
422,0-25%,63,0.746032,0.142857
422,25-50%,63,0.857143,0.15873
422,50-75%,63,0.873016,0.126984
422,75-100%,64,0.796875,0.0625
428,0-25%,83,0.843373,0.084337
428,25-50%,84,0.821429,0.035714
428,50-75%,83,0.698795,0.168675
428,75-100%,84,0.761905,0.285714
431,0-25%,107,0.925234,0.084112
431,25-50%,107,0.943925,0.084112
431,50-75%,107,0.925234,0.158879
431,75-100%,108,0.935185,0.231481
433,0-25%,80,0.8625,0.1125
433,25-50%,80,0.8125,0.0875
433,50-75%,80,0.8375,0.1
433,75-100%,80,0.9,0.1
435,0-25%,94,0.851064,0.117021
435,25-50%,94,0.914894,0.117021
435,50-75%,94,0.87234,0.148936
435,75-100%,94,0.840426,0.095745
440,0-25%,175,0.805714,0.148571
440,25-50%,176,0.869318,0.085227
440,50-75%,175,0.885714,0.131429
440,75-100%,176,0.965909,0.193182
443,0-25%,81,0.82716,0.148148
443,25-50%,82,0.792683,0.036585
443,50-75%,81,0.790123,0.246914
443,75-100%,82,0.853659,0.195122
445,0-25%,81,0.740741,0.037037
445,25-50%,82,0.597561,0.170732
445,50-75%,82,0.792683,0.134146
445,75-100%,82,0.865854,0.182927
446,0-25%,63,0.571429,0.015873
446,25-50%,63,0.634921,0.063492
446,50-75%,63,0.619048,0.174603
446,75-100%,64,0.734375,0.1875
447,0-25%,57,0.736842,0.052632
447,25-50%,58,0.741379,0.155172
447,50-75%,58,0.586207,0.051724
447,75-100%,58,0.844828,0.241379
449,0-25%,104,1.0,0.067308
449,25-50%,105,0.961905,0.066667
449,50-75%,104,0.903846,0.096154
449,75-100%,105,0.971429,0.066667
461,0-25%,102,0.833333,0.098039
461,25-50%,102,0.911765,0.127451
461,50-75%,102,0.911765,0.137255
461,75-100%,103,0.805825,0.203883
465,0-25%,71,0.394366,0.014085
465,25-50%,71,0.338028,0.15493
465,50-75%,71,0.521127,0.056338
465,75-100%,71,0.338028,0.28169
467,0-25%,103,0.747573,0.145631
467,25-50%,103,0.84466,0.067961
467,50-75%,103,0.864078,0.135922
467,75-100%,104,0.942308,0.211538
469,0-25%,141,0.921986,0.113475
469,25-50%,141,0.93617,0.156028
469,50-75%,141,0.93617,0.06383
469,75-100%,141,0.964539,0.22695
472,0-25%,108,0.731481,0.175926
472,25-50%,108,0.555556,0.092593
472,50-75%,108,0.814815,0.092593
472,75-100%,108,0.574074,0.25
473,0-25%,145,0.77931,0.075862
473,25-50%,145,0.827586,0.131034
473,50-75%,145,0.82069,0.124138
473,75-100%,146,0.842466,0.136986
475,0-25%,57,0.842105,0.140351
475,25-50%,57,0.596491,0.070175
475,50-75%,57,0.807018,0.105263
475,75-100%,57,0.877193,0.052632
476,0-25%,85,0.517647,0.082353
476,25-50%,86,0.662791,0.197674
476,50-75%,86,0.732558,0.069767
476,75-100%,86,0.593023,0.116279
479,0-25%,100,0.97,0.09
479,25-50%,100,0.95,0.06
479,50-75%,100,0.92,0.09
479,75-100%,100,0.89,0.26
482,0-25%,80,0.275,0.0625
482,25-50%,81,0.592593,0.148148
482,50-75%,81,0.62963,0.123457
482,75-100%,81,0.54321,0.246914
488,0-25%,111,0.855856,0.054054
488,25-50%,112,0.857143,0.116071
488,50-75%,112,0.883929,0.151786
488,75-100%,112,0.883929,0.241071
489,0-25%,142,0.507042,0.15493
489,25-50%,142,0.669014,0.197183
489,50-75%,142,0.704225,0.021127
489,75-100%,143,0.881119,0.188811
494,0-25%,63,0.555556,0.15873
494,25-50%,64,0.8125,0.125
494,50-75%,63,0.888889,0.079365
494,75-100%,64,0.859375,0.234375
497,0-25%,103,0.708738,0.097087
497,25-50%,104,0.865385,0.153846
497,50-75%,103,0.834951,0.097087
497,75-100%,104,0.951923,0.173077
498,0-25%,92,0.771739,0.119565
498,25-50%,93,0.849462,0.075269
498,50-75%,93,0.817204,0.096774
498,75-100%,93,0.784946,0.16129
502,0-25%,93,0.849462,0.107527
502,25-50%,93,0.849462,0.16129
502,50-75%,93,0.870968,0.064516
502,75-100%,93,0.784946,0.247312
503,0-25%,66,0.651515,0.106061
503,25-50%,66,0.863636,0.121212
503,50-75%,66,0.772727,0.090909
503,75-100%,66,0.833333,0.121212
508,0-25%,112,0.776786,0.089286
508,25-50%,113,0.911504,0.079646
508,50-75%,112,0.9375,0.098214
508,75-100%,113,0.911504,0.106195
509,0-25%,92,0.521739,0.097826
509,25-50%,92,0.336957,0.097826
509,50-75%,92,0.673913,0.217391
509,75-100%,93,0.709677,0.247312
513,0-25%,127,0.779528,0.125984
513,25-50%,128,0.78125,0.132812
513,50-75%,127,0.811024,0.125984
513,75-100%,128,0.8125,0.195312
518,0-25%,126,0.801587,0.063492
518,25-50%,127,0.811024,0.133858
518,50-75%,127,0.92126,0.11811
518,75-100%,127,0.913386,0.228346
522,0-25%,113,0.858407,0.159292
522,25-50%,114,0.754386,0.078947
522,50-75%,113,0.752212,0.19469
522,75-100%,114,0.833333,0.201754
524,0-25%,66,0.833333,0.060606
524,25-50%,67,0.880597,0.179104
524,50-75%,66,0.848485,0.106061
524,75-100%,67,0.61194,0.134328
528,0-25%,93,0.645161,0.096774
528,25-50%,94,0.87234,0.117021
528,50-75%,93,0.860215,0.172043
528,75-100%,94,0.957447,0.138298
536,0-25%,103,0.961165,0.058252
536,25-50%,103,0.864078,0.058252
536,50-75%,103,0.883495,0.135922
536,75-100%,103,0.815534,0.23301
541,0-25%,71,0.535211,0.098592
541,25-50%,72,0.694444,0.111111
541,50-75%,72,0.638889,0.180556
541,75-100%,72,0.638889,0.125
544,0-25%,115,0.878261,0.113043
544,25-50%,115,0.930435,0.182609
544,50-75%,115,0.947826,0.130435
544,75-100%,115,0.982609,0.130435
547,0-25%,70,0.728571,0.185714
547,25-50%,70,0.7,0.3
547,50-75%,70,0.714286,0.128571
547,75-100%,70,0.571429,0.157143
555,0-25%,102,0.882353,0.156863
555,25-50%,102,0.794118,0.107843
555,50-75%,102,0.754902,0.088235
555,75-100%,103,0.84466,0.145631
558,0-25%,99,0.434343,0.111111
558,25-50%,100,0.5,0.13
558,50-75%,99,0.333333,0.343434
558,75-100%,100,0.35,0.21
560,0-25%,58,0.741379,0.12069
560,25-50%,58,0.931034,0.12069
560,50-75%,58,0.982759,0.086207
560,75-100%,59,0.881356,0.084746
567,0-25%,94,0.765957,0.106383
567,25-50%,95,0.894737,0.136842
567,50-75%,94,0.957447,0.117021
567,75-100%,95,0.968421,0.221053
571,0-25%,73,0.821918,0.109589
571,25-50%,73,0.643836,0.09589
571,50-75%,73,0.835616,0.041096
571,75-100%,74,0.810811,0.040541
593,0-25%,80,0.275,0.0875
593,25-50%,80,0.175,0.175
593,50-75%,80,0.225,0.05
593,75-100%,81,0.08642,0.222222
595,0-25%,69,0.73913,0.101449
595,25-50%,69,0.826087,0.188406
595,50-75%,69,0.811594,0.086957
595,75-100%,69,0.623188,0.115942
596,0-25%,113,0.840708,0.141593
596,25-50%,114,0.824561,0.061404
596,50-75%,113,0.893805,0.150442
596,75-100%,114,0.719298,0.280702
600,0-25%,58,0.982759,0.086207
600,25-50%,59,0.915254,0.050847
600,50-75%,58,0.931034,0.086207
600,75-100%,59,0.949153,0.084746
604,0-25%,78,0.871795,0.038462
604,25-50%,78,0.820513,0.192308
604,50-75%,78,0.897436,0.038462
604,75-100%,79,0.848101,0.088608
611,0-25%,65,0.984615,0.076923
611,25-50%,66,0.969697,0.166667
611,50-75%,66,1.0,0.060606
611,75-100%,66,1.0,0.227273
613,0-25%,87,0.83908,0.068966
613,25-50%,88,0.920455,0.193182
613,50-75%,88,0.954545,0.136364
613,75-100%,88,1.0,0.261364
615,0-25%,133,0.669173,0.082707
615,25-50%,134,0.738806,0.179104
615,50-75%,134,0.820896,0.067164
615,75-100%,134,0.686567,0.19403
616,0-25%,150,0.946667,0.16
616,25-50%,150,0.933333,0.093333
616,50-75%,150,0.886667,0.206667
616,75-100%,150,0.906667,0.146667
617,0-25%,83,0.614458,0.108434
617,25-50%,83,0.86747,0.072289
617,50-75%,83,0.746988,0.289157
617,75-100%,83,0.759036,0.228916
618,0-25%,58,0.637931,0.086207
618,25-50%,59,0.711864,0.220339
618,50-75%,58,0.87931,0.051724
618,75-100%,59,0.728814,0.152542
619,0-25%,84,0.77381,0.130952
619,25-50%,84,0.690476,0.107143
619,50-75%,84,0.821429,0.047619
619,75-100%,85,0.941176,0.235294
625,0-25%,64,0.875,0.125
625,25-50%,65,0.830769,0.046154
625,50-75%,64,0.875,0.046875
625,75-100%,65,0.692308,0.2
626,0-25%,102,0.823529,0.215686
626,25-50%,103,0.718447,0.135922
626,50-75%,103,0.873786,0.145631
626,75-100%,103,0.883495,0.135922
627,0-25%,137,0.664234,0.145985
627,25-50%,138,0.753623,0.137681
627,50-75%,137,0.729927,0.109489
627,75-100%,138,0.717391,0.289855
628,0-25%,76,0.605263,0.105263
628,25-50%,76,0.565789,0.078947
628,50-75%,76,0.578947,0.131579
628,75-100%,76,0.631579,0.065789
629,0-25%,113,0.477876,0.185841
629,25-50%,113,0.752212,0.132743
629,50-75%,113,0.716814,0.079646
629,75-100%,114,0.754386,0.184211
630,0-25%,96,0.927083,0.0625
630,25-50%,97,0.917526,0.216495
630,50-75%,97,0.969072,0.14433
630,75-100%,97,0.896907,0.113402
632,0-25%,134,0.850746,0.164179
632,25-50%,135,0.911111,0.103704
632,50-75%,135,0.903704,0.111111
632,75-100%,135,0.881481,0.214815
635,0-25%,57,0.842105,0.052632
635,25-50%,58,0.931034,0.051724
635,50-75%,57,0.859649,0.052632
635,75-100%,58,0.844828,0.068966
646,0-25%,77,0.805195,0.090909
646,25-50%,78,0.666667,0.064103
646,50-75%,77,0.818182,0.233766
646,75-100%,78,0.717949,0.064103
648,0-25%,78,0.897436,0.153846
648,25-50%,78,0.974359,0.192308
648,50-75%,78,0.948718,0.153846
648,75-100%,79,0.962025,0.088608
649,0-25%,78,0.666667,0.064103
649,25-50%,79,0.670886,0.126582
649,50-75%,78,0.75641,0.141026
649,75-100%,79,0.848101,0.126582
651,0-25%,138,0.985507,0.108696
651,25-50%,138,0.978261,0.108696
651,50-75%,138,0.985507,0.152174
651,75-100%,138,0.992754,0.210145
655,0-25%,147,0.755102,0.108844
655,25-50%,148,0.72973,0.148649
655,50-75%,148,0.878378,0.060811
655,75-100%,148,0.783784,0.202703
661,0-25%,150,0.893333,0.106667
661,25-50%,150,0.933333,0.093333
661,50-75%,150,0.94,0.173333
661,75-100%,150,0.913333,0.213333
664,0-25%,141,0.964539,0.092199
664,25-50%,142,0.943662,0.084507
664,50-75%,142,0.93662,0.098592
664,75-100%,142,0.978873,0.197183
667,0-25%,82,0.756098,0.121951
667,25-50%,83,0.891566,0.072289
667,50-75%,82,0.926829,0.060976
667,75-100%,83,0.951807,0.120482
672,0-25%,75,0.853333,0.093333
672,25-50%,75,0.906667,0.146667
672,50-75%,75,0.96,0.013333
672,75-100%,76,0.973684,0.157895
677,0-25%,135,0.933333,0.074074
677,25-50%,136,0.992647,0.132353
677,50-75%,136,0.963235,0.102941
677,75-100%,136,0.955882,0.191176
680,0-25%,74,0.743243,0.175676
680,25-50%,75,0.746667,0.053333
680,50-75%,74,0.797297,0.189189
680,75-100%,75,0.68,0.173333
682,0-25%,139,0.669065,0.115108
682,25-50%,140,0.742857,0.135714
682,50-75%,139,0.913669,0.086331
682,75-100%,140,0.828571,0.221429
686,0-25%,81,0.530864,0.049383
686,25-50%,82,0.573171,0.097561
686,50-75%,82,0.731707,0.146341
686,75-100%,82,0.609756,0.182927
687,0-25%,97,0.948454,0.061856
687,25-50%,98,0.918367,0.193878
687,50-75%,98,0.969388,0.05102
687,75-100%,98,0.877551,0.244898
688,0-25%,80,0.6125,0.0625
688,25-50%,81,0.654321,0.08642
688,50-75%,81,0.654321,0.17284
688,75-100%,81,0.888889,0.259259
691,0-25%,144,0.875,0.159722
691,25-50%,144,0.840278,0.083333
691,50-75%,144,0.854167,0.104167
691,75-100%,145,0.868966,0.234483
704,0-25%,137,0.919708,0.116788
704,25-50%,138,0.956522,0.07971
704,50-75%,138,0.898551,0.101449
